2025-09-19 at 13:53:12 | INFO | Найдено 0 записей.
2025-09-19 at 13:53:24 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 13:53:24 | INFO | Найдено 3 записей.
2025-09-19 at 13:53:28 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:53:32 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-09-19 at 13:53:47 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:53:47 | INFO | Найдено 0 записей.
2025-09-19 at 13:57:53 | ERROR | Бот остановлен!
2025-09-19 at 13:58:05 | INFO | Бот успешно запущен.
2025-09-19 at 13:58:06 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:58:06 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 13:58:14 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 13:58:14 | INFO | Найдено 0 записей.
2025-09-19 at 13:59:52 | ERROR | Бот остановлен!
2025-09-19 at 15:34:35 | INFO | Бот успешно запущен.
2025-09-19 at 15:35:07 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:35:07 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:35:19 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:35:19 | INFO | Найдено 0 записей.
2025-09-19 at 15:35:59 | ERROR | Бот остановлен!
2025-09-19 at 15:36:09 | INFO | Бот успешно запущен.
2025-09-19 at 15:36:10 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:36:10 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:36:13 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:36:13 | INFO | Найдено 0 записей.
2025-09-19 at 15:38:37 | ERROR | Бот остановлен!
2025-09-19 at 15:38:44 | INFO | Бот успешно запущен.
2025-09-19 at 15:38:47 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:38:47 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:38:51 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:38:51 | INFO | Найдено 0 записей.
2025-09-19 at 15:39:27 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:39:27 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:39:32 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-19 at 15:39:32 | INFO | Найдено 0 записей.
2025-09-19 at 15:39:42 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-19 at 15:39:42 | INFO | Найдено 3 записей.
2025-09-19 at 15:39:55 | INFO | Поиск Category с ID: 1
2025-09-19 at 15:39:55 | INFO | Запись с ID 1 найдена.
2025-09-19 at 15:45:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-19 at 15:45:26 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
